txid,to_account,TOKEN_ID,current_owner,rank,time
0xd326fd61c26564f8dc3e9fabb10e6772f058df2dc31ee7903ce3ed100791659f,0x71a3842a7c6b8465bf90ccd62a8a8545cfb43509,0,0x0000000000000000000000000000000000000000,2250,2021-08-24T21:21:18
0xd326fd61c26564f8dc3e9fabb10e6772f058df2dc31ee7903ce3ed100791659f,0x71a3842a7c6b8465bf90ccd62a8a8545cfb43509,1,0x0000000000000000000000000000000000000000,4375,2021-08-24T21:21:18
0xd326fd61c26564f8dc3e9fabb10e6772f058df2dc31ee7903ce3ed100791659f,0x71a3842a7c6b8465bf90ccd62a8a8545cfb43509,2,0x0000000000000000000000000000000000000000,4723,2021-08-24T21:21:18
0xd326fd61c26564f8dc3e9fabb10e6772f058df2dc31ee7903ce3ed100791659f,0x71a3842a7c6b8465bf90ccd62a8a8545cfb43509,3,0x0000000000000000000000000000000000000000,4129,2021-08-24T21:21:18
0xd326fd61c26564f8dc3e9fabb10e6772f058df2dc31ee7903ce3ed100791659f,0x71a3842a7c6b8465bf90ccd62a8a8545cfb43509,4,0x0000000000000000000000000000000000000000,4161,2021-08-24T21:21:18
0xd326fd61c26564f8dc3e9fabb10e6772f058df2dc31ee7903ce3ed100791659f,0x71a3842a7c6b8465bf90ccd62a8a8545cfb43509,5,0x0000000000000000000000000000000000000000,4562,2021-08-24T21:21:18
0xd326fd61c26564f8dc3e9fabb10e6772f058df2dc31ee7903ce3ed100791659f,0x71a3842a7c6b8465bf90ccd62a8a8545cfb43509,6,0x0000000000000000000000000000000000000000,4325,2021-08-24T21:21:18
0xd326fd61c26564f8dc3e9fabb10e6772f058df2dc31ee7903ce3ed100791659f,0x71a3842a7c6b8465bf90ccd62a8a8545cfb43509,7,0x0000000000000000000000000000000000000000,4137,2021-08-24T21:21:18
0xd326fd61c26564f8dc3e9fabb10e6772f058df2dc31ee7903ce3ed100791659f,0x71a3842a7c6b8465bf90ccd62a8a8545cfb43509,8,0x0000000000000000000000000000000000000000,4280,2021-08-24T21:21:18
0xd326fd61c26564f8dc3e9fabb10e6772f058df2dc31ee7903ce3ed100791659f,0x71a3842a7c6b8465bf90ccd62a8a8545cfb43509,9,0x0000000000000000000000000000000000000000,4438,2021-08-24T21:21:18
0x3343157906682f1a746f4b57653cec889859888f385d13b104ddfa965764df2e,0x71a3842a7c6b8465bf90ccd62a8a8545cfb43509,10,0x0000000000000000000000000000000000000000,5368,2021-08-25T11:43:54
0x3343157906682f1a746f4b57653cec889859888f385d13b104ddfa965764df2e,0x71a3842a7c6b8465bf90ccd62a8a8545cfb43509,11,0x0000000000000000000000000000000000000000,4207,2021-08-25T11:43:54
0x3343157906682f1a746f4b57653cec889859888f385d13b104ddfa965764df2e,0x71a3842a7c6b8465bf90ccd62a8a8545cfb43509,12,0x0000000000000000000000000000000000000000,5967,2021-08-25T11:43:54
0x3343157906682f1a746f4b57653cec889859888f385d13b104ddfa965764df2e,0x71a3842a7c6b8465bf90ccd62a8a8545cfb43509,13,0x0000000000000000000000000000000000000000,1704,2021-08-25T11:43:54
0x3343157906682f1a746f4b57653cec889859888f385d13b104ddfa965764df2e,0x71a3842a7c6b8465bf90ccd62a8a8545cfb43509,14,0x0000000000000000000000000000000000000000,5003,2021-08-25T11:43:54
0x3343157906682f1a746f4b57653cec889859888f385d13b104ddfa965764df2e,0x71a3842a7c6b8465bf90ccd62a8a8545cfb43509,15,0x0000000000000000000000000000000000000000,4528,2021-08-25T11:43:54
0x3343157906682f1a746f4b57653cec889859888f385d13b104ddfa965764df2e,0x71a3842a7c6b8465bf90ccd62a8a8545cfb43509,16,0x0000000000000000000000000000000000000000,5613,2021-08-25T11:43:54
0x3343157906682f1a746f4b57653cec889859888f385d13b104ddfa965764df2e,0x71a3842a7c6b8465bf90ccd62a8a8545cfb43509,17,0x0000000000000000000000000000000000000000,4297,2021-08-25T11:43:54
0x3343157906682f1a746f4b57653cec889859888f385d13b104ddfa965764df2e,0x71a3842a7c6b8465bf90ccd62a8a8545cfb43509,18,0x0000000000000000000000000000000000000000,4818,2021-08-25T11:43:54
0x3343157906682f1a746f4b57653cec889859888f385d13b104ddfa965764df2e,0x71a3842a7c6b8465bf90ccd62a8a8545cfb43509,19,0x0000000000000000000000000000000000000000,5609,2021-08-25T11:43:54
0x3343157906682f1a746f4b57653cec889859888f385d13b104ddfa965764df2e,0x71a3842a7c6b8465bf90ccd62a8a8545cfb43509,20,0x0000000000000000000000000000000000000000,4192,2021-08-25T11:43:54
0x3343157906682f1a746f4b57653cec889859888f385d13b104ddfa965764df2e,0x71a3842a7c6b8465bf90ccd62a8a8545cfb43509,21,0x0000000000000000000000000000000000000000,4536,2021-08-25T11:43:54
0x3343157906682f1a746f4b57653cec889859888f385d13b104ddfa965764df2e,0x71a3842a7c6b8465bf90ccd62a8a8545cfb43509,22,0x0000000000000000000000000000000000000000,4185,2021-08-25T11:43:54
0x3343157906682f1a746f4b57653cec889859888f385d13b104ddfa965764df2e,0x71a3842a7c6b8465bf90ccd62a8a8545cfb43509,23,0x0000000000000000000000000000000000000000,997,2021-08-25T11:43:54
0x3343157906682f1a746f4b57653cec889859888f385d13b104ddfa965764df2e,0x71a3842a7c6b8465bf90ccd62a8a8545cfb43509,24,0x0000000000000000000000000000000000000000,4167,2021-08-25T11:43:54
0x3343157906682f1a746f4b57653cec889859888f385d13b104ddfa965764df2e,0x71a3842a7c6b8465bf90ccd62a8a8545cfb43509,25,0x0000000000000000000000000000000000000000,4649,2021-08-25T11:43:54
0x3343157906682f1a746f4b57653cec889859888f385d13b104ddfa965764df2e,0x71a3842a7c6b8465bf90ccd62a8a8545cfb43509,26,0x0000000000000000000000000000000000000000,5610,2021-08-25T11:43:54
0x3343157906682f1a746f4b57653cec889859888f385d13b104ddfa965764df2e,0x71a3842a7c6b8465bf90ccd62a8a8545cfb43509,27,0x0000000000000000000000000000000000000000,4646,2021-08-25T11:43:54
0x3343157906682f1a746f4b57653cec889859888f385d13b104ddfa965764df2e,0x71a3842a7c6b8465bf90ccd62a8a8545cfb43509,28,0x0000000000000000000000000000000000000000,4729,2021-08-25T11:43:54
0x3343157906682f1a746f4b57653cec889859888f385d13b104ddfa965764df2e,0x71a3842a7c6b8465bf90ccd62a8a8545cfb43509,29,0x0000000000000000000000000000000000000000,4574,2021-08-25T11:43:54
0x3343157906682f1a746f4b57653cec889859888f385d13b104ddfa965764df2e,0x71a3842a7c6b8465bf90ccd62a8a8545cfb43509,30,0x0000000000000000000000000000000000000000,5111,2021-08-25T11:43:54
0x3343157906682f1a746f4b57653cec889859888f385d13b104ddfa965764df2e,0x71a3842a7c6b8465bf90ccd62a8a8545cfb43509,31,0x0000000000000000000000000000000000000000,5382,2021-08-25T11:43:54
0x3343157906682f1a746f4b57653cec889859888f385d13b104ddfa965764df2e,0x71a3842a7c6b8465bf90ccd62a8a8545cfb43509,32,0x0000000000000000000000000000000000000000,3937,2021-08-25T11:43:54
0x3343157906682f1a746f4b57653cec889859888f385d13b104ddfa965764df2e,0x71a3842a7c6b8465bf90ccd62a8a8545cfb43509,33,0x0000000000000000000000000000000000000000,2394,2021-08-25T11:43:54
0x3343157906682f1a746f4b57653cec889859888f385d13b104ddfa965764df2e,0x71a3842a7c6b8465bf90ccd62a8a8545cfb43509,34,0x0000000000000000000000000000000000000000,5529,2021-08-25T11:43:54
0x3343157906682f1a746f4b57653cec889859888f385d13b104ddfa965764df2e,0x71a3842a7c6b8465bf90ccd62a8a8545cfb43509,35,0x0000000000000000000000000000000000000000,4758,2021-08-25T11:43:54
0x3343157906682f1a746f4b57653cec889859888f385d13b104ddfa965764df2e,0x71a3842a7c6b8465bf90ccd62a8a8545cfb43509,36,0x0000000000000000000000000000000000000000,5050,2021-08-25T11:43:54
0x3343157906682f1a746f4b57653cec889859888f385d13b104ddfa965764df2e,0x71a3842a7c6b8465bf90ccd62a8a8545cfb43509,37,0x0000000000000000000000000000000000000000,5523,2021-08-25T11:43:54
0x3343157906682f1a746f4b57653cec889859888f385d13b104ddfa965764df2e,0x71a3842a7c6b8465bf90ccd62a8a8545cfb43509,38,0x0000000000000000000000000000000000000000,5281,2021-08-25T11:43:54
0x3343157906682f1a746f4b57653cec889859888f385d13b104ddfa965764df2e,0x71a3842a7c6b8465bf90ccd62a8a8545cfb43509,39,0x0000000000000000000000000000000000000000,5342,2021-08-25T11:43:54
